date,block,asset,address,totalAToken_units,supplyAPR_%,variableBorrowAPR_%,note
2025-09-22,23414857,PT-sUSDE-25SEP2025,0x9F56094C450763769BA0EA9Fe2876070c0fD5F77,1803439317.22,0.0,0.0,PT collateral; borrowing disabled
2025-09-22,23414857,PT-USDe-25SEP2025,0xBC6736d346a5eBC0dEbc997397912CD9b8FAe10a,1794525109.04,0.0,0.0,PT collateral; borrowing disabled
2025-09-22,23414857,PT-sUSDE-31JUL2025,0x3b3fB9C57858EF816833dC91565EFcd85D96f634,3150.45,0.0,0.0,PT collateral; borrowing disabled
2025-09-22,23414857,PT-USDe-31JUL2025,0x917459337CaAC939D41d7493B3999f571D20D667,3159.62,0.0,0.0,PT collateral; borrowing disabled
2025-09-22,23414857,USDC_borrow,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6055347640.38,4.9172,6.213,USDC borrow cost for carry loop
2025-09-23,23422006,PT-sUSDE-25SEP2025,0x9F56094C450763769BA0EA9Fe2876070c0fD5F77,1539291231.21,0.0,0.0,PT collateral; borrowing disabled
2025-09-23,23422006,PT-USDe-25SEP2025,0xBC6736d346a5eBC0dEbc997397912CD9b8FAe10a,1800000000.0,0.0,0.0,PT collateral; borrowing disabled
2025-09-23,23422006,PT-sUSDE-31JUL2025,0x3b3fB9C57858EF816833dC91565EFcd85D96f634,3150.45,0.0,0.0,PT collateral; borrowing disabled
2025-09-23,23422006,PT-USDe-31JUL2025,0x917459337CaAC939D41d7493B3999f571D20D667,3159.62,0.0,0.0,PT collateral; borrowing disabled
2025-09-23,23422006,USDC_borrow,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,5865642047.83,5.0693,6.3083,USDC borrow cost for carry loop
2025-09-24,23429174,PT-sUSDE-25SEP2025,0x9F56094C450763769BA0EA9Fe2876070c0fD5F77,1343166117.87,0.0,0.0,PT collateral; borrowing disabled
2025-09-24,23429174,PT-USDe-25SEP2025,0xBC6736d346a5eBC0dEbc997397912CD9b8FAe10a,1747090419.51,0.0,0.0,PT collateral; borrowing disabled
2025-09-24,23429174,PT-sUSDE-31JUL2025,0x3b3fB9C57858EF816833dC91565EFcd85D96f634,3150.45,0.0,0.0,PT collateral; borrowing disabled
2025-09-24,23429174,PT-USDe-31JUL2025,0x917459337CaAC939D41d7493B3999f571D20D667,3159.62,0.0,0.0,PT collateral; borrowing disabled
2025-09-24,23429174,USDC_borrow,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6030885125.3,4.5609,5.9836,USDC borrow cost for carry loop
2025-09-25,23436335,PT-sUSDE-25SEP2025,0x9F56094C450763769BA0EA9Fe2876070c0fD5F77,1124497481.41,0.0,0.0,PT collateral; borrowing disabled
2025-09-25,23436335,PT-USDe-25SEP2025,0xBC6736d346a5eBC0dEbc997397912CD9b8FAe10a,1498200183.34,0.0,0.0,PT collateral; borrowing disabled
2025-09-25,23436335,PT-sUSDE-31JUL2025,0x3b3fB9C57858EF816833dC91565EFcd85D96f634,3149.32,0.0,0.0,PT collateral; borrowing disabled
2025-09-25,23436335,PT-USDe-31JUL2025,0x917459337CaAC939D41d7493B3999f571D20D667,3159.62,0.0,0.0,PT collateral; borrowing disabled
2025-09-25,23436335,USDC_borrow,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,5898817299.94,4.5957,6.0064,USDC borrow cost for carry loop
2025-09-26,23443483,PT-sUSDE-25SEP2025,0x9F56094C450763769BA0EA9Fe2876070c0fD5F77,175784735.57,0.0,0.0,PT collateral; borrowing disabled
2025-09-26,23443483,PT-USDe-25SEP2025,0xBC6736d346a5eBC0dEbc997397912CD9b8FAe10a,114251333.42,0.0,0.0,PT collateral; borrowing disabled
2025-09-26,23443483,PT-sUSDE-31JUL2025,0x3b3fB9C57858EF816833dC91565EFcd85D96f634,3149.32,0.0,0.0,PT collateral; borrowing disabled
2025-09-26,23443483,PT-USDe-31JUL2025,0x917459337CaAC939D41d7493B3999f571D20D667,3159.62,0.0,0.0,PT collateral; borrowing disabled
2025-09-26,23443483,USDC_borrow,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,5867566020.18,4.1004,5.6735,USDC borrow cost for carry loop
2025-09-30,23472089,PT-sUSDE-25SEP2025,0x9F56094C450763769BA0EA9Fe2876070c0fD5F77,36473086.33,0.0,0.0,PT collateral; borrowing disabled
2025-09-30,23472089,PT-USDe-25SEP2025,0xBC6736d346a5eBC0dEbc997397912CD9b8FAe10a,1027832.29,0.0,0.0,PT collateral; borrowing disabled
2025-09-30,23472089,PT-sUSDE-31JUL2025,0x3b3fB9C57858EF816833dC91565EFcd85D96f634,3149.32,0.0,0.0,PT collateral; borrowing disabled
2025-09-30,23472089,PT-USDe-31JUL2025,0x917459337CaAC939D41d7493B3999f571D20D667,3159.62,0.0,0.0,PT collateral; borrowing disabled
2025-09-30,23472089,USDC_borrow,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,5540562865.78,3.7863,5.4519,USDC borrow cost for carry loop
