date,pool,implied_APY_%,lastLnImpliedRate,totalPt_raw,totalSy_raw,totalLp_raw
2025-08-01,PT-sUSDE-25SEP2025,10.6369,101083271399476148,26553639162673595874365171,69513594954712048225979488,39229483614111668393830980
2025-08-15,PT-sUSDE-25SEP2025,11.9556,112932037021914708,35224964345042757184292269,72383512052844165929553734,43536619522214709637780260
2025-09-01,PT-sUSDE-25SEP2025,12.3064,116060837928021383,32711317816912281941573539,63072384458986856489576662,38652213143341401474697994
2025-09-08,PT-sUSDE-25SEP2025,13.2944,124819664470469385,38917968230447156230079206,62818809728843618212897356,40751839268996993395984924
2025-09-15,PT-sUSDE-25SEP2025,13.8948,130105194738285404,39139669354694145403226207,56758068479124175895315121,38235877138996230269347935
2025-09-22,PT-sUSDE-25SEP2025,13.4345,126055810440144285,34170457126773933132748934,53771196930730161879293965,35185305787704269117679029
2025-09-24,PT-sUSDE-25SEP2025,14.5827,136126426154279948,34525735882571693094647524,44330401055033019489867704,31273680565521052524422434
2025-10-01,PT-sUSDE-25SEP2025,,314962844358376920,15593328138020124164509525,541895509504984112918862,5793372718658378842487570
2025-10-08,PT-sUSDE-25SEP2025,,314962844358376920,9308987774945381788017652,323503656732525678612336,3458558387044913143406602
2025-10-15,PT-sUSDE-25SEP2025,,314962844358376920,1758247869315662608868031,61102198103286914938411,653239972158112765846488
2025-10-22,PT-sUSDE-25SEP2025,,314962844358376920,1720717868567486133671516,59797964735198648304052,639296490654919022359036
2025-10-29,PT-sUSDE-25SEP2025,,314962844358376920,1569665700929311292091174,54548636906039398288431,583176238496849237460647
2025-11-05,PT-sUSDE-25SEP2025,,314962844358376920,1042626332939128613507071,36233094238155327346648,387365859266225374685642
2025-11-12,PT-sUSDE-25SEP2025,,314962844358376920,949737617993341396308038,33005048431174590861235,352855013199563580703161
2025-11-19,PT-sUSDE-25SEP2025,,314962844358376920,869675738737457794148784,30222757667632552480098,323109707836904210640570
2025-11-26,PT-sUSDE-25SEP2025,,314962844358376920,868921822667429347382587,30196557761539642348878,322829606196407629014845
2025-12-01,PT-sUSDE-25SEP2025,,314962844358376920,868921822667429347382587,30196557761539642348878,322829606196407629014845
2025-12-08,PT-sUSDE-25SEP2025,,314962844358376920,856377110143379649783834,29760606993067159312982,318168882413968887579597
2025-12-15,PT-sUSDE-25SEP2025,,314962844358376920,852609639014427813482934,29629680761739362044145,316769157848205088262364
2025-12-22,PT-sUSDE-25SEP2025,,314962844358376920,852310572263545726485446,29619287667467838189291,316658045894407771948094
2025-12-29,PT-sUSDE-25SEP2025,,314962844358376920,851049932628131275980757,29575478228489288718468,316189681783345280998263
2025-08-01,PT-USDe-25SEP2025,12.8899,121242560740969226,11251928265124302394116563,20065031454024072589110340,12522083390093215940693764
2025-08-15,PT-USDe-25SEP2025,14.7002,137151717954083993,37937120095387865353503040,47475305382615537483766886,34074324859646511320986288
2025-09-01,PT-USDe-25SEP2025,14.5039,135439069628131529,44995859740781477501388066,58503200145572562899088480,41277328727795442477080451
2025-09-08,PT-USDe-25SEP2025,16.7108,154528805266351752,64208711954554727871052754,54779365941333810778433223,47410528586868529449193682
2025-09-15,PT-USDe-25SEP2025,17.8879,164563897054881235,69376564273736595780496169,47441927605507625272555901,46523422803077568722259071
2025-09-22,PT-USDe-25SEP2025,15.6243,145175721078716573,42389993285421438155690756,44372812665275761758211663,34559856695267142618354552
2025-09-24,PT-USDe-25SEP2025,15.9924,148354671090552663,36455133200176005046177666,35593474418650339524221905,28697928169074221242967311
2025-10-01,PT-USDe-25SEP2025,,292359739126997508,2973261100734810632188130,123886155174443103678717,1233582384646489003220957
2025-10-08,PT-USDe-25SEP2025,,292359739126997508,890479349440766645418403,37103388880711484366999,369452800189703234129232
2025-10-15,PT-USDe-25SEP2025,,292359739126997508,832261177507188073222358,34677626313019986578111,345298543657764499192251
2025-10-22,PT-USDe-25SEP2025,,292359739126997508,763210575629044111319100,31800511492175527032070,316649998091058331032079
2025-10-29,PT-USDe-25SEP2025,,292359739126997508,560389384337953547014406,23349609695914296769562,232501098841049073449919
2025-11-05,PT-USDe-25SEP2025,,292359739126997508,559325710452802708242363,23305289851969803333795,232059789005392094585045
2025-11-12,PT-USDe-25SEP2025,,292359739126997508,536756701186745077531254,22364912371035733826995,222696086549979910785506
2025-11-19,PT-USDe-25SEP2025,,292359739126997508,531909299243788007731882,22162936840144866967143,220684938034750221434921
2025-11-26,PT-USDe-25SEP2025,,292359739126997508,528601802539981519122954,22025124170485460494798,219312683956531640680835
2025-12-01,PT-USDe-25SEP2025,,292359739126997508,508579099370074590260684,21190843013238333780961,211005423649894480365359
2025-12-08,PT-USDe-25SEP2025,,292359739126997508,508579099370074590260684,21190843013238333780961,211005423649894480365359
2025-12-15,PT-USDe-25SEP2025,,292359739126997508,508579099370074590260684,21190843013238333780961,211005423649894480365359
2025-12-22,PT-USDe-25SEP2025,,292359739126997508,508579099370074590260684,21190843013238333780961,211005423649894480365359
2025-12-29,PT-USDe-25SEP2025,,292359739126997508,498887363640739034308980,20787019791598826374256,206984399573198813384021
2025-08-01,PT-sUSDE-27NOV2025,8.9494,85713643493459470,3409756602367203470974757,10902201615467861116918974,6908770729713411374468545
2025-08-15,PT-sUSDE-27NOV2025,8.7888,84238490000216259,3668746685660250965927262,12145269318126157206744151,7641161897685842444912981
2025-09-01,PT-sUSDE-27NOV2025,9.4071,89905230959652070,4878423065495181217838343,14137360140096928606809676,9144629074381153872043566
2025-09-08,PT-sUSDE-27NOV2025,9.0008,86184739090421848,6728262468181549690570442,21273757394662393187175801,13505924608071527517952072
2025-09-15,PT-sUSDE-27NOV2025,9.1518,87569133355487165,10370053776965908001699659,31745078145341785614497326,20289303755749661246934035
2025-09-22,PT-sUSDE-27NOV2025,7.9041,76072534014583484,8929649961586848941815391,35740736202676932432562097,21699438368380221008979394
2025-09-24,PT-sUSDE-27NOV2025,7.9132,76157108394089247,9734983067487939405659837,38888204056539538084184719,23617946492867995829646319
2025-10-01,PT-sUSDE-27NOV2025,7.5282,72582687445594936,22795737984427483548008673,98946131663699820460115881,59268057224606977656752699
2025-10-08,PT-sUSDE-27NOV2025,7.6395,73617778022284738,19059720007583053538528574,80769786563417895714685064,48566684604361969033578733
2025-10-15,PT-sUSDE-27NOV2025,6.8783,66520346959339342,15643998299724381125700164,78141349766513426020159959,45824192711796803817699184
2025-10-22,PT-sUSDE-27NOV2025,5.9651,57939659882839225,12732242163510212538776499,77546548620272569127525341,44314167269585140251694467
2025-10-29,PT-sUSDE-27NOV2025,6.1149,59351914510790789,12414646297546500477977023,73184339157458158807039489,41986583412834876192102791
2025-11-05,PT-sUSDE-27NOV2025,6.2245,60384200456335529,12200827876214689989188669,70229485114568177446183707,40410481106768594921043935
2025-11-12,PT-sUSDE-27NOV2025,6.3506,61571431691266390,11499696806285497138482490,64406348673577877822094364,37188769670703708276697640
2025-11-19,PT-sUSDE-27NOV2025,6.6599,64474632126947344,11403086516087966126067689,59738921573116610553275476,34800217803264535984538080
2025-11-26,PT-sUSDE-27NOV2025,6.5917,63835778050737396,10968137416909582047290637,58307098821775399720527740,33898806756432788075112644
2025-12-01,PT-sUSDE-27NOV2025,,281805420002152899,18110365253015770043753761,646268556945984831605961,7861984714980494198136639
2025-12-08,PT-sUSDE-27NOV2025,,281805420002152899,13459027859132841091286887,480285537640890930693959,5842768482506369909982692
2025-12-15,PT-sUSDE-27NOV2025,,281805420002152899,11038361501687343325834359,393904035566354438404740,4791920438503784330568792
2025-12-22,PT-sUSDE-27NOV2025,,281805420002152899,7633290738425058894571433,272394052872546894384077,3313727485452373339714684
2025-12-29,PT-sUSDE-27NOV2025,,281805420002152899,7176644249536549393711764,256098618557146521696998,3115490306597400548185365
2025-08-15,PT-USDe-27NOV2025,9.5666,91361953840217735,1131546051933142721908864,3887400398068706739711713,2311568056108574568355899
2025-09-01,PT-USDe-27NOV2025,9.2943,88873949672077998,1205584370422649026627603,4380143662410951096754402,2572381756096494004277136
2025-09-08,PT-USDe-27NOV2025,9.6745,92346984950741921,1282269340306987138906057,4306769794718963983119078,2572986312356450624989704
2025-09-15,PT-USDe-27NOV2025,9.4217,90039159078119924,1276560211501530010381339,4516750520511333933428051,2667083632022077483266526
2025-09-22,PT-USDe-27NOV2025,7.7289,74447837559703685,3251232243815129496377063,16337259192036127579200334,9025081519692214642864349
2025-09-24,PT-USDe-27NOV2025,7.8644,75704605222469097,4276481126512721793222372,20891530953295725082871807,11595072187298317491181333
2025-10-01,PT-USDe-27NOV2025,6.3906,61947097838727162,3011398824467676594906303,20020497602198119306828985,10613774524680420307126021
2025-10-08,PT-USDe-27NOV2025,6.3306,61382791194342782,2726230661833179193283745,18353220076977715285732314,9713696265617269097824388
2025-10-15,PT-USDe-27NOV2025,6.4864,62847300302747117,2477138425985954352344113,16140518987909191412701085,8578668673272083108217756
2025-10-22,PT-USDe-27NOV2025,6.0026,58293480625624644,2394670441098655939846508,17269024026402363653850911,9060744888511372807236030
2025-10-29,PT-USDe-27NOV2025,6.1523,59704540184263529,2352986394726757229973822,16442960053849221032524751,8660587762116415734831330
2025-11-05,PT-USDe-27NOV2025,6.3264,61343719166504831,1814581377576483767957820,12226850390924282742711943,6469686164884245082610676
2025-11-12,PT-USDe-27NOV2025,6.9015,66737251376024390,1953396262633654941506579,11675423128549612354719535,6279139256748794030305384
2025-11-19,PT-USDe-27NOV2025,6.5306,63262070068339886,1792964371981926541016309,11576666540824863477151420,6159839804681866391533899
2025-11-26,PT-USDe-27NOV2025,6.4768,62757337956368906,1745819517882548160484689,11399150457781393778428886,6056335796530962006128653
2025-12-01,PT-USDe-27NOV2025,,290983319578571587,5538506640112355257288837,230771216743862242623830,2657977298311920020943742
2025-12-08,PT-USDe-27NOV2025,,290983319578571587,525799696561840615315950,21908330823391051004261,252335827639689749316660
2025-12-15,PT-USDe-27NOV2025,,290983319578571587,386642049212973029825069,16110092835314899480333,185552867615598748522561
2025-12-22,PT-USDe-27NOV2025,,290983319578571587,379981903745580410851432,15832586645817917222636,182356606131036278734331
2025-12-29,PT-USDe-27NOV2025,,290983319578571587,373097154378427118306542,15545721956168963379886,179052555289979675405112
